GPD #,Data Type,SiteName,LatDD,LonDD,Rate of Change Symbol,Citation
744,Pollen,Grice Pond,47.2,-95.75,,"J. H. McAndrews, unpub."
849,Pollen,Guardipee Lake,48.55,-112.72,2,"(Barnosky, 1989)"
1155,Pollen,Hanson Marsh,43.43,-89.68,,"(Bachhuber, 1966)"
89,Pollen,Hayes Lake,49.58,-93.75,,"(McAndrews, 1982)"
1313,Pollen,Head Lake,37.7,-105.5,-1,"(Shafer, 1989)"
862,Pollen,Hedrick Pond,43.75,-110.6,-1,"(Whitlock, 1993)"
107,Pollen,Hell's Kitchen Lake,46.18,-89.7,,"(Swain, 1978)"
745,Pollen,Hemo Pond,47.22,-95.78,,"J. H. McAndrews, unpub."
746,Pollen,Horse Pond,47.19,-95.87,,"(McAndrews, 1966)"
414,Pollen,Horseshoe Lake,45.46,-93.05,,"(Cushing, 1967)"
843,Pollen,Hostage Lake,46.55,-94.13,-2,"(Almendinger, 1992)"
1535,Pollen,Howes Prairie Marsh,41.65,-87.07,,"(Cole and Taylor, 1995)"
111,Pollen,Hudson Lake,41.67,-86.53,2,"(Bailey, 1972)"
935,Pollen,Hug Lake,47.96,-90.93,,"(Swain, 1980)"
913,Pollen,Hustler Lake,48.23,-92.16,,"(Kingston et al., 1990)"
113,Pollen,Indian Lake,50.92,-90.45,,"(Björk, 1985)"
1156,Pollen,Iola Bog,44.5,-89.12,0,"(Schweger, 1969)"
1085,Pollen,Irvin Lake,47.14,-93.64,0,"(Alwin, 1982)"
114,Pollen,Jack Lake,47.32,-81.77,,"(Liu, 1990)"
115,Pollen,Jackson Pond,37.45,-85.72,,"(Wilkins, 1985)"
1377,Pollen,Jacob Lake,34.33,-110.83,,"(Jacobs, 1983)"
116,Pollen,Jacobson Lake,46.42,-92.72,-1,"(Wright and Watts, 1969)"
379,Pollen,Jacobson Lake,46.42,-92.72,,"(Wright and Watts, 1969)"
117,Pollen,Jewell Site,42.26,-93.7,0,"(Kim, 1986)"
118,Pollen,Jock Lake,48.68,-86.45,,"(Saarnisto, 1975)"
747,Pollen,Jones Lake [US:Minnesota],45.43,-93.98,,"J. H. McAndrews, unpub."
748,Pollen,Kegan Lake,44.76,-93.12,,"J. H. McAndrews, unpub."
1157,Pollen,Kellners Lake,44.24,-87.85,,"(Goodwin, 1976)"
388,Pollen,Kellys Hollow,45.3,-90.35,-1,"(Heide, 1984)"
389,Pollen,Kellys Hollow,45.3,-90.35,,"(Heide, 1984)"
905,Pollen,Kenosee Lake,49.82,-102.3,,"(Vance et al., 1997)"
,Pollen,Kimble Pond,44.22,-93.84,0,"(Camill et al., 2003)"
123,Pollen,Kirchner Marsh,44.27,-93.12,2,"(Wright et al., 1963)"
1188,Pollen,Kirchner Marsh,44.27,-93.12,,"(Wright et al., 1963)"
3182,Pollen,Kitchner Lake,45.67,-87.46,,"(Woods and Davis, 1989)"
125,Pollen,Kotiranta Lake,46.72,-92.62,-1,"(Wright and Watts, 1969)"
749,Pollen,Kryzewinski Lake,46.35,-92.87,,"J. H. McAndrews, unpub."
126,Pollen,Kylen Lake,47.35,-91.8,,"(Birks, 1981)"
925,Pollen,Ladd Lake,41.42,-84.75,,"(Shane and Anderson, 1993)"
134,Pollen,Lake 27,45.07,-84.78,,"(Bernabo, 1981)"
135,Pollen,Lake A,53.24,-105.72,1,"(Mott, 1973)"
729,Pollen,Lake Ann,45.42,-93.69,,"J. H. McAndrews, unpub."
1187,Pollen,Lake Ann,45.42,-93.69,-3,"(Keen and Shane, 1990)"
136,Pollen,Lake B,53.8,-106.08,-1,"(Mott, 1973)"
376,Pollen,Lake Carlson,44.82,-93.16,1,"(Wright et al., 1963)"
1968,Pollen,Lake Emma,37.82,-107.58,-1,"(Carrara et al., 1984)"
750,Pollen,Lake Mabel,44.45,-93.61,,"J. H. McAndrews, unpub."
138,Pollen,Lake Mary,46.25,-89.9,,"(Heide, 1984)"
165,Pollen,Lake Mendota,43.1,-89.42,2,"(Winkler et al., 1986)"
166,Pollen,Lake Mendota,43.1,-89.42,,"(Winkler et al., 1986)"
775,Pollen,Lake Minnie,47.24,-95.01,2,"(Almendinger, 1992)"
776,Pollen,Lake Minnie,47.24,-95.01,,"(Almendinger, 1992)"
755,Pollen,Lake Onamia,46.07,-93.68,,"J. H. McAndrews, unpub."
139,Pollen,Lake Six,48.4,-81.32,,"(Liu, 1990)"
133,Pollen,Lake Sixteen,45.6,-84.32,,"(Futyma and Miller, 1986)"
189,Pollen,Lake West Okoboji,43.33,-95.2,1,"(Van Zant, 1979)"
137,Pollen,Lake of the Clouds [Minnesota],48,-91.12,,"(Amundson and Wright, 1979; Swain, 1973)"
911,Pollen,Lake of the Clouds [Minnesota],48,-91.12,,"(Swain, 1973)"
141,Pollen,Last Lake,47.88,-84.87,,"(Saarnisto, 1975)"
753,Pollen,Lewis Lake,45.75,-93.36,,"J. H. McAndrews, unpub."
864,Pollen,Lily Lake Fen,43.77,-110.32,,"(Whitlock, 1993)"
143,Pollen,Lily Lake [US:Minnesota],45.05,-92.82,,"(Brugam et al., 1988)"
863,Pollen,Lily Lake [US:Wyoming],43.77,-110.32,-2,"(Whitlock, 1993)"
144,Pollen,Little Bass Lake,47.28,-93.6,2,"P. C. Swain, unpub."
146,Pollen,Little Pine Lake,45.28,-91.48,,"(Gajewski et al., 1985)"
154,Pollen,Lost Lake,46.72,-87.97,,"(Brubaker, 1975)"
1280,Pollen,Lost Lake [Montana],47.64,-110.48,-1,"(Barnosky, 1989)"
155,Pollen,Lynn Lake,56.84,-101.04,,"(Nichols, 1967)"
865,Pollen,Mariposa Lake,44.15,-110.23,-1,"(Whitlock, 1993)"
159,Pollen,Martin Pond,47.18,-94.93,1,"(McAndrews, 1966)"
754,Pollen,McCraney Pond,47.18,-95.7,,"(McAndrews, 1966)"
920,Pollen,McNearny Lake,46.43,-84.96,,"(Kingston et al., 1990)"
921,Pollen,McNearny Lake,46.43,-84.96,,"(Kingston et al., 1990)"
922,Pollen,McNearny Lake,46.43,-84.96,,"(Kingston et al., 1990)"
164,Pollen,Medicine Lake,44.82,-97.35,0,"(Radle, 1981)"
1143,Pollen,Medicine Lake,44.82,-97.35,,"(Radle et al., 1989)"
1141,Pollen,Molas Lake,37.75,-107.68,-1,"(Maher, 1961)"
1142,Pollen,Molas Pass Bog,37.74,-107.7,-1,"(Maher, 1961)"
1277,Pollen,Moon Lake,46.86,-98.16,2,"(Laird et al., 1996)"
,Pollen,Money Pine Creeks,43.9,-91.67,-1,"(Baker et al., 2002)"
806,Pollen,Mordsger Lake,51.38,-94.25,,"(McAndrews, 1986b)"
840,Pollen,Mud Lake,46.87,-94.75,,"(Almendinger, 1992)"
781,Pollen,Mud Lake [Minnesota],44.23,-93.83,,"J. H. McAndrews, unpub."
591,Pollen,Murphy Lake,44.71,-93.34,,"(McAndrews, 1968)"
1567,Pollen,Muscotah Marsh,39.53,-95.51,-1,"(Grüger, 1973)"
3171,Pollen,Muscotah Marsh,39.53,-95.51,,"(Grüger, 1973)"
176,Pollen,Myrtle Lake,47.98,-93.38,,"(Janssen, 1968)"
914,Pollen,Nels Lake,48.03,-91.9,,"(Kingston et al., 1990)"
180,Pollen,Nelson Pond,46.4,-92.68,,"(Jacobson, 1979)"
934,Pollen,Neville Marsh,40.55,-83.83,,"(Shane and Anderson, 1993)"
187,Pollen,Nungesser,51.51,-93.41,,"J. Terasmae, unpub."
190,Pollen,Old Field,37.12,-89.83,,"(King and Allen, 1977)"
793,Pollen,Oliver Pond,48.42,-89.32,,"(Julig et al., 1990)"
191,Pollen,Ondris Pond,46.35,-94.4,,"(Jacobson, 1979)"
1282,Pollen,Opabin Lake,51.34,-116.31,,"(Reasoner and Hickman, 1989)"
918,Pollen,Otto Mielke Lake,45.93,-89.62,,"(Kingston et al., 1990)"
3487,Pollen,Park Pond 1,43.47,-109.96,,"(Lynch, 1998)"
3489,Pollen,Park Pond 3,43.46,-109.92,-1,"(Lynch, 1998)"
780,Pollen,Pasqua Lake,50.78,-104,,"(McAndrews, 1988)"
795,Pollen,Pass Lake,48.56,-88.74,,"(McAndrews, 1986a)"
1075,Pollen,Peggy Lake,49.48,-92,,"J. H. McAndrews, unpub."
756,Pollen,Pennington Lake,45.78,-93.27,,"J. H. McAndrews, unpub."
841,Pollen,Peterson Slough,46.97,-95.32,,"(Almendinger, 1992)"
196,Pollen,Pickerel Lake,45.5,-97.33,0,"(Watts and Bright, 1968)"
198,Pollen,Pilot Mound Site,42.16,-93.9,-3,"(Kim, 1986)"
782,Pollen,Pleasant Lake,44.59,-93.57,,"J. H. McAndrews, unpub."
201,Pollen,Pogonia Bog Pond,45.03,-93.63,-3,"(Swain, 1979)"
956,Pollen,Pogonia Bog Pond,45.03,-93.63,,"(Swain, 1979)"
771,Pollen,Portage Lake,47.08,-94.11,2,"J. H. McAndrews, unpub."
1262,Pollen,Portage Marsh,41.58,-87.22,,"(Singer et al., 1996)"
1263,Pollen,Portage Marsh,41.58,-87.22,,"(Singer et al., 1996)"
1314,Pollen,Posy Lake,37.95,-111.7,,"(Shafer, 1989)"
1151,Pollen,Potato Lake,34.46,-111.35,,"(Anderson, 1993)"
441,Pollen,Powers Fort Swale,36.6,-90.58,,"(Royall et al., 1991)"
205,Pollen,Pretty Lake,41.58,-85.25,,"(Williams, 1974)"
206,Pollen,Prince Lake,46.57,-84.55,,"(Saarnisto, 1975)"
812,Pollen,Pyle Site,40.67,-84.88,,"(Shane, 1987)"
217,Pollen,R Lake [Ontario],54.31,-84.56,,"(McAndrews et al., 1982)"
212,Pollen,Radtke Lake,43.4,-88.1,-3,"(Webb, 1983)"
214,Pollen,Rattle Lake,49.35,-92.7,,"(Björk, 1985)"
1153,Pollen,Redrock Lake,40.08,-105.54,1,"(Maher, 1972)"
758,Pollen,Reichow,47.19,-95.78,,"(McAndrews, 1966)"
442,Pollen,Reidel Lake,46.21,-95.28,,"(Almquist-Jacobson et al., 1992)"
759,Pollen,Rholl Lake,47.6,-96.17,,"J. H. McAndrews, unpub."
932,Pollen,Rhule Fen,39.95,-85.74,,"(Shane and Anderson, 1993)"
777,Pollen,Rice Lake,46.92,-95.58,-2,"(McAndrews, 1969)"
778,Pollen,Rice Lake,46.92,-95.58,,"(McAndrews, 1969)"
1278,Pollen,Rice Lake [North Dakota],48.01,-101.53,-1,"(Clark et al., 2001)"
462,Pollen,Roberts Creek,42.99,-91.5,2,"(Baker et al., 1996)"
470,Pollen,Rosebud,43.23,-100.85,,"(Watts and Wright Jr. , 1966)"
223,Pollen,Rossburg Bog,46.58,-93.6,,"(Swain, 1967)"
224,Pollen,Ruby Lake,45.28,-91.46,,"(Gajewski et al., 1985)"
225,Pollen,Rutz Lake,44.87,-93.87,,"(Waddington, 1969)"
226,Pollen,Ryerse Lake,46.13,-85.18,,"R. P. Futyma, unpub."
2294,Pollen,Sagehen Marsh,37.47,-108.5,,"(Petersen, 1985)"
2296,Pollen,Sagehen Marsh,37.47,-108.5,,"(Petersen, 1985)"
760,Pollen,Sedivy Lake,47.21,-95.83,,"J. H. McAndrews, unpub."
234,Pollen,Seidel,44.45,-87.52,,"(West, 1961)"
1186,Pollen,Seidel,44.45,-87.52,,"(West, 1961)"
237,Pollen,Shagawa Lake,47.92,-91.87,,"(Bradbury and Waddington, 1973)"
,Pollen,Sharkey Lake,44.59,-93.41,2,"(Camill et al., 2003)"
464,Pollen,Sherd Lake,44.27,-107.01,2,"(Burkart, 1976)"
761,Pollen,Silver Lake [Minnesota],44.9,-94.2,,"J. H. McAndrews, unpub."
241,Pollen,Silver Lake [Ohio],40.35,-83.8,,"(Ogden, 1966)"
243,Pollen,Sioux Pond,49.93,-91.57,,"(Björk, 1985)"
1086,Pollen,Siseebakwet South,47.13,-93.68,,"(Alwin, 1982)"
866,Pollen,Slough Creek Pond,44.93,-110.35,-1,"(Whitlock and Bartlein, 1993)"
762,Pollen,Solum Lake,46.66,-96.25,,"J. H. McAndrews, unpub."
763,Pollen,South Stanchfield Lake,45.72,-93.47,,"J. H. McAndrews, unpub."
764,Pollen,Spectacle Lake,45.57,-93.41,,"J. H. McAndrews, unpub."
3183,Pollen,Spirit Lake,46.47,-86.96,,"(Woods and Davis, 1989)"
1279,Pollen,Spiritwood Lake,47.07,-98.59,0,"J. H. McAndrews, unpub."
,Pollen,Steel Lake,46.97,-94.68,2,"(Wright et al., 2004)"
254,Pollen,Stewart's Dark Lake,45.3,-91.45,1,"(Heide, 1984)"
765,Pollen,Stone Lake,45.4,-93.52,,"J. H. McAndrews, unpub."
1161,Pollen,Stone Lake Tamarack Swamp,44.89,-93.69,0,"(Swain, 1979)"
252,Pollen,Stotzel-Leis Site,40.22,-84.69,,"(Shane, 1987)"
593,Pollen,Sunfish Lake,44.87,-93.1,,"(McAndrews, 1968)"
256,Pollen,Swan Lake,41.72,-102.51,-1,"(Wright et al., 1985)"
258,Pollen,Tamarack Creek,44.15,-91.45,,"(Davis, 1977)"
1969,Pollen,Telegraph Creek,46.53,-112.4,-1,"(Brant, 1980)"
260,Pollen,Terhell Pond,47.19,-95.77,-3,"(McAndrews, 1966)"
1163,Pollen,Third Lake,48.11,-92.02,,"(Swain, 1979)"
1164,Pollen,Third Lake,48.11,-92.02,,"(Swain, 1979)"
1165,Pollen,Third Lake,48.11,-92.02,,"(Swain, 1979)"
262,Pollen,Thompson,47.2,-96.08,2,"(McAndrews, 1966)"
458,Pollen,Toboggan Lake,50.77,-114.6,-1,"(MacDonald, 1989)"
766,Pollen,Toenjes Lake,45.41,-93.98,,"J. H. McAndrews, unpub."
767,Pollen,Twin Lakes,45.85,-93.17,,"J. H. McAndrews, unpub."
2299,Pollen,Twin Lakes [US:Colorado],37.47,-108.1,-1,"(Petersen and Mehringer, 1976)"
444,Pollen,Upper Graven Lake,46.18,-95.31,,"(Kellogg, 1991)"
466,Pollen,Upper Mallot Lake,47.31,-84.26,,"(McAndrews and Campbell, 1993)"
272,Pollen,Upper Twin Lake,46.55,-84.58,,"(Saarnisto, 1975)"
276,Pollen,Vestaburg Bog,43.42,-84.88,,"(Gilliam et al., 1967)"
278,Pollen,Volo Bog,42.35,-88.18,-1,"(King, 1981)"
280,Pollen,Weber Lake,47.47,-91.66,,"(Fries, 1962)"
1166,Pollen,Wells Mastodon Site,41.08,-86.43,,"(Gooding and Ogden, 1965)"
842,Pollen,Wentzel's Pond,46.95,-94.95,,"(Almendinger, 1992)"
283,Pollen,White Lily Lake,46.09,-93.1,,"(Cushing, 1967)"
752,Pollen,White Lily Lake,46.09,-93.1,,"J. H. McAndrews, unpub."
284,Pollen,Willow River Pond,46.33,-92.78,,"(Jacobson, 1979)"
286,Pollen,Wintergreen Lake,42.4,-85.38,,"(Manny et al., 1978)"
287,Pollen,Wolf Creek,46.12,-94.12,,"(Birks, 1976)"
288,Pollen,Wolsfeld Lake,45,-93.57,1,"(Grimm, 1983)"
289,Pollen,Wolverine Lake,46.43,-85.66,,"R. P. Futyma, unpub."
290,Pollen,Wood Lake,45.33,-90.08,,"(Heide, 1984)"
768,Pollen,Woodworth Pond,47.15,-99.23,2,"(McAndrews et al., 1967)"
292,Pollen,Yellow Dog Pond,46.75,-87.95,,"(Brubaker, 1975)"
293,Pollen,Zuehl Farm Site,43.03,-93.87,1,"(Kim, 1982)"
,Speleothem d13C,Beckham Creek Cave,35.95,-93.32,0,"(Denniston et al., 2000)"
,Speleothem d13C,Bridal Cave,38.02,-92.78,2,"(Denniston et al., 2000)"
,Speleothem d13C,Cold Water Cave,38.9,-92.3,0,"(Denniston et al., 1999a)"
,Speleothem d13C,Cosmic Cavern,36.43,-93.5,2,"(Denniston et al., 2000)"
,Speleothem d13C,Onondaga Cave,38.04,-91.22,0,"(Denniston et al., 2000)"
,Speleothem d13C,Spring Valley Cave,43.69,-92.39,2,"(Denniston et al., 1999b)"
,Soil d13C,Aubrey Site,33,-97.5,2,"(Humphrey and Ferring, 1994)"
,Soil d13C,Beecher Island,40,-102,2,"(Muhs et al., 1999)"
,Soil d13C,Big Nehama River,40.02,-95.55,1,"(Baker et al., 2000)"
,Soil d13C,Cimarron Bend,37.11,-101.63,2,"(Olson and Porter, 2002)"
,Soil d13C,Eddy Site,37.78,-93.83,0,"(Hajic et al., 2000)"
,Soil d13C,Great Bend Sand Prairie,37.95,-98,0,"(Arbogast and Johnson, 1998)"
,Soil d13C,Medina River Valley,29.5,-98.5,2,"(Nordt et al., 2002)"
,Soil d13C,Old Wauneta Road Cut,40.5,-101.42,-3,"(Feggestad et al., 2004)"
,Soil d13C,Wilson Ridge,38.3,-98.9,2,"(Arbogast, 1996)"
,Soil d13C,Wind Cave,43.58,-103.47,0,"(Fredlund and Tieszen, 1997)"
,Lake d13C,Pickerel Lake,43.3,-97.2,0,"(Dean and Schwalb, 2000)"
,Lake d13C,Shingobee Lake,47,-94.68,0,"(Dean and Schwalb, 2002)"
,Lake d13C,Williams Lake,46.95,-94.67,0,"(Dean and Schwalb, 2002)"
